,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
2272,European,363705.0,31168069.0,Ward J,Mood instability,initial,2019-06-05,GCST008357,Other measurement,#d53e4f
2273,European,46237.0,31043756.0,Stahl EA,Bipolar I disorder,initial,2019-05-01,GCST008115,Neurological disorder,#d53e4f
2274,Other/Mixed,365.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#99d594
2275,European,298142.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#d53e4f
2276,Asian,840.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#3288bd
2277,Other/Mixed,815.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#99d594
2278,Hispanic/Latin American,612.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#807dba
2279,Asian,2629.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#3288bd
2281,African Am./Caribbean,7687.0,31043758.0,Warrington NM,Birth weight,initial,2019-05-01,GCST008362,Body measurement,#fee08b
2282,European,147172.0,31043756.0,Stahl EA,Bipolar disorder,replication,2019-05-01,GCST008103,Neurological disorder,#d53e4f
2283,European,51710.0,31043756.0,Stahl EA,Bipolar disorder,initial,2019-05-01,GCST008103,Neurological disorder,#d53e4f
2284,European,210267.0,31043758.0,Warrington NM,Offspring birth weight,initial,2019-05-01,GCST008363,Body measurement,#d53e4f
2286,European,210267.0,31043758.0,Warrington NM,Offspring birth weight,initial,2019-05-01,GCST008363,Other measurement,#d53e4f
2288,European,32335.0,31043756.0,Stahl EA,Schizoaffective disorder-bipolar type,initial,2019-05-01,GCST008117,Neurological disorder,#d53e4f
2289,European,34779.0,31043756.0,Stahl EA,Bipolar II disorder,initial,2019-05-01,GCST008116,Neurological disorder,#d53e4f
2290,Asian,58.0,31039275.0,Park SH,Infliximab-induced mucosal healing in Crohn's disease,initial,2019-04-30,GCST008397,Digestive system disorder,#3288bd
2291,Asian,54.0,31039275.0,Park SH,Infliximab-induced mucosal healing in Crohn's disease,replication,2019-04-30,GCST008397,Digestive system disorder,#3288bd
2292,Asian,58.0,31039275.0,Park SH,Infliximab-induced mucosal healing in Crohn's disease,initial,2019-04-30,GCST008397,Response to drug,#3288bd
2293,Asian,54.0,31039275.0,Park SH,Infliximab-induced mucosal healing in Crohn's disease,replication,2019-04-30,GCST008397,Response to drug,#3288bd
2294,Asian,419.0,31020675.0,Omae Y,KANNO antigen negativity,initial,2019-04-24,GCST007948,Other measurement,#3288bd
2295,European,14579.0,31014085.0,Welsh P,Cardiac troponin-I levels,initial,2019-04-24,GCST008309,Cardiovascular measurement,#d53e4f
2297,European,4755.0,31059154.0,Chen Z,Progressive supranuclear palsy,initial,2019-05-06,GCST007845,Neurological disorder,#d53e4f
2298,European,4806.0,31055733.0,Nazarian A,Alzheimer's disease in hypertension-negative individuals,initial,2019-05-05,GCST008437,Neurological disorder,#d53e4f
2299,European,10870.0,31055733.0,Nazarian A,Alzheimer's disease in hypertension,initial,2019-05-05,GCST008438,Neurological disorder,#d53e4f
2300,European,10870.0,31055733.0,Nazarian A,Alzheimer's disease in hypertension,initial,2019-05-05,GCST008438,Cardiovascular disease,#d53e4f
2301,European,46186.0,31021400.0,Masotti M,Glycemic traits (pleiotropy),initial,2019-04-25,GCST008674,Other measurement,#d53e4f
2302,European,10395.0,31014085.0,Welsh P,Cardiac Troponin-T levels,initial,2019-04-24,GCST008310,Cardiovascular measurement,#d53e4f
2303,European,581.0,31081985.0,Stein MB,Psychological resilience (outcome-based) in high deployment stress exposure,initial,2019-05-13,GCST007945,Other measurement,#d53e4f
2304,European,1939.0,31081985.0,Stein MB,Psychological resilience (outcome-based),initial,2019-05-13,GCST007947,Other measurement,#d53e4f
2305,European,11473.0,31081985.0,Stein MB,Psychological resilience (self-assessed),initial,2019-05-13,GCST007946,Other measurement,#d53e4f
2306,European,563.0,31085060.0,Gisbert L,Emotional lability in attention deficit hyperactivity disorder,initial,2019-05-10,GCST007880,Neurological disorder,#d53e4f
2307,European,563.0,31085060.0,Gisbert L,Emotional lability in attention deficit hyperactivity disorder,initial,2019-05-10,GCST007880,Other measurement,#d53e4f
2308,European,19112.0,31070104.0,Jia Q,Glycine levels,initial,2019-05-09,GCST007838,Other measurement,#d53e4f
2309,European,30118.0,31070104.0,Jia Q,Glycine levels,initial,2019-05-09,GCST007836,Other measurement,#d53e4f
2310,European,11006.0,31070104.0,Jia Q,Glycine levels,initial,2019-05-09,GCST007837,Other measurement,#d53e4f
2311,Asian,8839.0,31006500.0,Liu M,Low HDL-cholesterol levels,initial,2019-04-04,GCST007840,Lipid or lipoprotein measurement,#3288bd
2312,Other/Mixed,1828.0,30946743.0,Li Z,Ankylosing spondylitis,initial,2019-04-04,GCST007844,Immune system disorder,#99d594
2313,Other/Mixed,1176.0,30946743.0,Li Z,Ankylosing spondylitis,initial,2019-04-04,GCST007844,Immune system disorder,#99d594
2314,European,4941.0,31006051.0,Kharazmi M,Bisphosphonate-associated atypical femoral fracture,initial,2019-04-20,GCST008097,Response to drug,#d53e4f
2315,Hispanic/Latin American,1.0,31006051.0,Kharazmi M,Bisphosphonate-associated atypical femoral fracture,initial,2019-04-20,GCST008097,Response to drug,#807dba
2316,European,4941.0,31006051.0,Kharazmi M,Bisphosphonate-associated atypical femoral fracture,initial,2019-04-20,GCST008097,Other disease,#d53e4f
2317,Hispanic/Latin American,1.0,31006051.0,Kharazmi M,Bisphosphonate-associated atypical femoral fracture,initial,2019-04-20,GCST008097,Other disease,#807dba
2318,European,374.0,31006051.0,Kharazmi M,Atypical femoral fracture in phosphonate treatment,initial,2019-04-20,GCST008098,Response to drug,#d53e4f
2319,Hispanic/Latin American,1.0,31006051.0,Kharazmi M,Atypical femoral fracture in phosphonate treatment,initial,2019-04-20,GCST008098,Response to drug,#807dba
2320,European,374.0,31006051.0,Kharazmi M,Atypical femoral fracture in phosphonate treatment,initial,2019-04-20,GCST008098,Other disease,#d53e4f
2321,Hispanic/Latin American,1.0,31006051.0,Kharazmi M,Atypical femoral fracture in phosphonate treatment,initial,2019-04-20,GCST008098,Other disease,#807dba
2322,European,131686.0,31070453.0,Zekavat SM,Arterial stiffness,initial,2019-04-11,GCST007846,Cardiovascular measurement,#d53e4f
2323,Asian,6106.0,30975718.0,Tanikawa C,Urolithiasis,replication,2019-04-11,GCST007833,Other disease,#3288bd
2324,Asian,198769.0,30975718.0,Tanikawa C,Urolithiasis,initial,2019-04-11,GCST007833,Other disease,#3288bd
2325,European,465.0,30972912.0,Wei L,Peginterferon alfa-2a treatment response in chronic hepatitis B infection,initial,2019-04-10,GCST008514,Response to drug,#d53e4f
2327,Asian,1108.0,30972912.0,Wei L,Peginterferon alfa-2a treatment response in chronic hepatitis B infection,initial,2019-04-10,GCST008514,Response to drug,#3288bd
2328,European,465.0,30972912.0,Wei L,Peginterferon alfa-2a treatment response in chronic hepatitis B infection,initial,2019-04-10,GCST008514,Digestive system disorder,#d53e4f
2330,Asian,1108.0,30972912.0,Wei L,Peginterferon alfa-2a treatment response in chronic hepatitis B infection,initial,2019-04-10,GCST008514,Digestive system disorder,#3288bd
2331,European,2481.0,30999091.0,Wang Y,Post-traumatic stress disorder symptoms in trauma-exposed soldiers,initial,2019-04-09,GCST008270,Other measurement,#d53e4f
2332,European,2481.0,30999091.0,Wang Y,Post-traumatic stress disorder symptoms in trauma-exposed soldiers,initial,2019-04-09,GCST008270,Biological process,#d53e4f
2333,European,126936.0,31151762.0,Gelernter J,Maximum habitual alcohol consumption,initial,2019-04-08,GCST008675,Other measurement,#d53e4f
2334,African Am./Caribbean,17029.0,31151762.0,Gelernter J,Maximum habitual alcohol consumption,initial,2019-04-08,GCST008675,Other measurement,#fee08b
2335,European,6879.0,30992453.0,Bjornsdottir G,Sural nerve amplitude potential,initial,2019-04-16,GCST008312,Other measurement,#d53e4f
2336,European,6979.0,30992453.0,Bjornsdottir G,Sural nerve conduction velocity,initial,2019-04-16,GCST008313,Other measurement,#d53e4f
2337,Other/Mixed,497.0,31040861.0,Thomson RJ,Urinary albumin-to-creatinine ratio,replication,2019-04-16,GCST007832,Other measurement,#99d594
2338,Other/Mixed,249.0,31040861.0,Thomson RJ,Urinary albumin-to-creatinine ratio,initial,2019-04-16,GCST007832,Other measurement,#99d594
2339,European,8857.0,30988330.0,Hellwege JN,Benign prostatic hyperplasia,initial,2019-04-15,GCST008169,Other disease,#d53e4f
2341,European,331037.0,30980028.0,de Kovel CGF,Handedness (Left-handed vs. non-left-handed),initial,2019-04-12,GCST007592,Other trait,#d53e4f
2342,European,331037.0,30980028.0,de Kovel CGF,Ambidextrousness,initial,2019-04-12,GCST007593,Other trait,#d53e4f
2343,European,331037.0,30980028.0,de Kovel CGF,Handedness (Right-handed vs. non-right-handed),initial,2019-04-12,GCST007594,Other trait,#d53e4f
2344,Asian,296.0,30971808.0,Kim JJ,Response to intravenous immunoglobulin treatment in Kawasaki disease,initial,2019-04-11,GCST008314,Immune system disorder,#3288bd
2345,Asian,1242.0,30971808.0,Kim JJ,Response to intravenous immunoglobulin treatment in Kawasaki disease,replication,2019-04-11,GCST008314,Immune system disorder,#3288bd
2346,Asian,296.0,30971808.0,Kim JJ,Response to intravenous immunoglobulin treatment in Kawasaki disease,initial,2019-04-11,GCST008314,Other trait,#3288bd
2347,Asian,1242.0,30971808.0,Kim JJ,Response to intravenous immunoglobulin treatment in Kawasaki disease,replication,2019-04-11,GCST008314,Other trait,#3288bd
2352,Asian,3617.0,30955190.0,Yun S,Incident chronic kidney disease,initial,2019-04-06,GCST007734,Other disease,#3288bd
2353,European,762.0,30952644.0,El Charif O,Tinnitus in cisplatin-treated testicular cancer,initial,2019-04-05,GCST007796,Cancer,#d53e4f
2354,European,762.0,30952644.0,El Charif O,Tinnitus in cisplatin-treated testicular cancer,initial,2019-04-05,GCST007796,Response to drug,#d53e4f
2355,European,762.0,30952644.0,El Charif O,Tinnitus in cisplatin-treated testicular cancer,initial,2019-04-05,GCST007796,Other trait,#d53e4f
2356,European,7192.0,31009812.0,Hung RJ,Adenocarcinoma in never smokers,initial,2019-04-19,GCST008375,Other measurement,#d53e4f
2357,European,1612.0,31009812.0,Hung RJ,Adenocarcinoma in never smokers,replication,2019-04-19,GCST008375,Other measurement,#d53e4f
2358,European,7192.0,31009812.0,Hung RJ,Adenocarcinoma in never smokers,initial,2019-04-19,GCST008375,Cancer,#d53e4f
2359,European,1612.0,31009812.0,Hung RJ,Adenocarcinoma in never smokers,replication,2019-04-19,GCST008375,Cancer,#d53e4f
2360,European,8031.0,31009812.0,Hung RJ,Lung cancer in never smokers,initial,2019-04-19,GCST008376,Other measurement,#d53e4f
2361,European,1900.0,31009812.0,Hung RJ,Lung cancer in never smokers,replication,2019-04-19,GCST008376,Other measurement,#d53e4f
2362,European,8031.0,31009812.0,Hung RJ,Lung cancer in never smokers,initial,2019-04-19,GCST008376,Cancer,#d53e4f
2363,European,1900.0,31009812.0,Hung RJ,Lung cancer in never smokers,replication,2019-04-19,GCST008376,Cancer,#d53e4f
2364,European,226336.0,31000673.0,Kim W,Lymphangioleiomyomatosis (sporadic),replication,2019-04-18,GCST008311,,#d53e4f
2365,European,1278.0,31000673.0,Kim W,Lymphangioleiomyomatosis (sporadic),initial,2019-04-18,GCST008311,,#d53e4f
2366,Hispanic/Latin American,1121.0,31000673.0,Kim W,Lymphangioleiomyomatosis (sporadic),replication,2019-04-18,GCST008311,,#807dba
2367,European,408455.0,30998689.0,Shadrina AS,Varicose veins,initial,2019-04-18,GCST008057,Other trait,#d53e4f
2368,Asian,367.0,30945699.0,Wei J,Postoperative survival time in hepatocellular carcinoma,initial,2019-04-04,GCST007731,Other measurement,#3288bd
2369,Asian,758.0,30945699.0,Wei J,Postoperative survival time in hepatocellular carcinoma,replication,2019-04-04,GCST007731,Other measurement,#3288bd
2370,Asian,367.0,30945699.0,Wei J,Postoperative survival time in hepatocellular carcinoma,initial,2019-04-04,GCST007731,Cancer,#3288bd
2371,Asian,758.0,30945699.0,Wei J,Postoperative survival time in hepatocellular carcinoma,replication,2019-04-04,GCST007731,Cancer,#3288bd
2372,European,2647.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Cardiovascular measurement,#d53e4f
2373,African Am./Caribbean,115.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Cardiovascular measurement,#fee08b
2374,European,355.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),replication,2019-03-28,GCST008148,Cardiovascular measurement,#d53e4f
2375,Hispanic/Latin American,114.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Cardiovascular measurement,#807dba
2376,Asian,303.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Cardiovascular measurement,#3288bd
2377,European,2647.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Metabolic disorder,#d53e4f
2378,African Am./Caribbean,115.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Metabolic disorder,#fee08b
2379,European,355.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),replication,2019-03-28,GCST008148,Metabolic disorder,#d53e4f
2380,Hispanic/Latin American,114.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Metabolic disorder,#807dba
2381,Asian,303.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Metabolic disorder,#3288bd
2382,European,2647.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Response to drug,#d53e4f
2383,African Am./Caribbean,115.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Response to drug,#fee08b
2384,European,355.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),replication,2019-03-28,GCST008148,Response to drug,#d53e4f
2385,Hispanic/Latin American,114.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Response to drug,#807dba
2386,Asian,303.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008148,Response to drug,#3288bd
2387,European,28835.0,30929738.0,Ferreira MAR,Asthma onset (childhood vs adult),initial,2019-03-28,GCST007797,Other disease,#d53e4f
2388,European,47299.0,30929738.0,Ferreira MAR,Asthma onset (childhood vs adult),replication,2019-03-28,GCST007797,Other disease,#d53e4f
2389,European,28835.0,30929738.0,Ferreira MAR,Asthma onset (childhood vs adult),initial,2019-03-28,GCST007797,Other measurement,#d53e4f
2390,European,47299.0,30929738.0,Ferreira MAR,Asthma onset (childhood vs adult),replication,2019-03-28,GCST007797,Other measurement,#d53e4f
2391,European,341215.0,30929738.0,Ferreira MAR,Asthma,initial,2019-03-28,GCST007798,Other disease,#d53e4f
2392,Hispanic/Latin American,114.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008147,Cardiovascular measurement,#807dba
2393,European,820.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),replication,2019-03-28,GCST008147,Cardiovascular measurement,#d53e4f
2394,Asian,303.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008147,Cardiovascular measurement,#3288bd
2395,African Am./Caribbean,115.0,30924126.0,Brackman DJ,Response to allopurinol in gout (change in serum uric acid levels),initial,2019-03-28,GCST008147,Cardiovascular measurement,#fee08b
